cod_manzana,municipio,dist_salud_m,score_salud,dist_educ_m,score_educacion,dist_via_m,score_via,dist_finca_m,en_finca,score_economia
0566510000000000030105,San Pedro de Urabá,623.0,0.7,435.0,0.8,28903.0,0.05,38326.0,0,0.15
0565920010300300010101,San Juan de Urabá,5962.0,0.05,5962.0,0.15,71197.0,0.05,71005.0,0,0.15
0566510000000000010745,San Pedro de Urabá,583.0,0.7,283.0,1.0,29594.0,0.05,39134.0,0,0.15
0566510000000000010805,San Pedro de Urabá,418.0,0.85,217.0,1.0,29656.0,0.05,39045.0,0,0.15
0583720090700100010140,Turbo,473.0,0.85,812.0,0.6,660.0,0.7,642.0,0,0.55
0583720090700100010120,Turbo,542.0,0.7,874.0,0.6,674.0,0.7,540.0,0,0.55
0583720090700100020105,Turbo,108.0,1.0,250.0,1.0,192.0,0.9,896.0,0,0.55
0583720090700100020226,Turbo,251.0,0.85,121.0,1.0,243.0,0.9,1075.0,0,0.35
0583720090700100020336,Turbo,870.0,0.7,796.0,0.6,538.0,0.7,1351.0,0,0.35
0583720090700100020343,Turbo,734.0,0.7,651.0,0.8,456.0,0.7,1260.0,0,0.35
0583720100700200020109,Turbo,9786.0,0.05,332.0,0.8,181.0,0.9,973.0,0,0.55
0583720090600300010116,Turbo,7619.0,0.05,46.0,1.0,72.0,1.0,3265.0,0,0.15
0583720050200500010125,Turbo,9550.0,0.05,185.0,1.0,20062.0,0.05,29398.0,0,0.15
0583720070201200010111,Turbo,17972.0,0.05,73.0,1.0,12361.0,0.05,21105.0,0,0.15
0583720090302500010107,Turbo,2891.0,0.25,386.0,0.8,2757.0,0.45,3034.0,0,0.15
0583720030802900010103,Turbo,10377.0,0.05,164.0,1.0,10635.0,0.05,6780.0,0,0.15
0583720010203800010109,Turbo,4556.0,0.25,4266.0,0.15,26302.0,0.05,35361.0,0,0.15
0514710000000000010413,Carepa,775.0,0.7,71.0,1.0,60.0,1.0,991.0,0,0.55
